team,pitchers_used,pitcher_age,era,innings_pitched,p_hits,p_runs,earned_runs,homeruns_allowed,walks_allowed,p_strikeouts,saves,hbp,era_plus,whip,hits_per_nine,hr_per_nine,walks_per_nine,so_per_nine,so_walk,p_left_on_base,year
TEX,16,26.4,4.11,1450.1,1356,743,662,145,736,1059,41,41,105,1.442,8.4,0.9,4.6,6.6,1.44,1217,1986.0
TOR,18,27.7,4.08,1476.0,1467,733,669,164,487,1002,44,45,104,1.324,8.9,1.0,3.0,6.1,2.06,1103,1986.0
ATL,20,29.2,4.63,1427.2,1529,829,734,163,587,837,32,39,94,1.482,9.6,1.0,3.7,5.3,1.43,1158,1987.0
BAL,18,27.7,5.01,1439.2,1555,880,801,226,547,870,30,27,88,1.460,9.7,1.4,3.4,5.4,1.59,1079,1987.0
BOS,13,27.1,4.77,1436.0,1584,825,761,190,517,1034,16,31,96,1.463,9.9,1.2,3.2,6.5,2.00,1132,1987.0
CAL,16,30.8,4.38,1457.1,1481,803,709,212,504,941,36,32,99,1.362,9.1,1.3,3.1,5.8,1.87,1046,1987.0
CHC,15,27.6,4.55,1434.2,1524,801,726,159,628,1024,48,27,94,1.500,9.6,1.0,3.9,6.4,1.63,1205,1987.0
CHW,18,27.6,4.30,1447.2,1436,746,691,189,537,792,37,35,108,1.363,8.9,1.2,3.3,4.9,1.47,1099,1987.0
CIN,18,28.3,4.24,1452.1,1486,752,685,170,485,919,44,22,100,1.357,9.2,1.1,3.0,5.7,1.89,1079,1987.0
CLE,21,30.5,5.28,1422.2,1566,957,835,219,606,849,25,50,86,1.527,9.9,1.4,3.8,5.4,1.40,1170,1987.0
DET,14,29.5,4.02,1456.0,1430,735,651,180,563,976,31,33,106,1.369,8.8,1.1,3.5,6.0,1.73,1164,1987.0
HOU,17,31.6,3.84,1441.1,1363,678,615,141,525,1137,33,26,102,1.310,8.5,0.9,3.3,7.1,2.17,1112,1987.0
KCR,15,27.4,3.86,1424.0,1424,691,610,128,548,923,26,36,118,1.385,9.0,0.8,3.5,5.8,1.68,1151,1987.0
LAD,18,27.9,3.72,1455.0,1415,675,601,130,565,1097,32,28,108,1.361,8.8,0.8,3.5,6.8,1.94,1198,1987.0
MIL,17,26.2,4.62,1464.0,1548,817,752,169,529,1039,45,26,99,1.419,9.5,1.0,3.3,6.4,1.96,1136,1987.0
MIN,17,31.4,4.63,1427.1,1465,806,734,210,564,990,39,50,99,1.422,9.2,1.3,3.6,6.2,1.76,1117,1987.0
MON,21,28.2,3.92,1450.1,1428,720,631,145,446,1012,50,26,108,1.292,8.9,0.9,2.8,6.3,2.27,1080,1987.0
NYM,18,25.8,3.84,1454.0,1407,698,621,135,510,1032,51,34,99,1.318,8.7,0.8,3.2,6.4,2.02,1131,1987.0
NYY,22,32.1,4.36,1446.1,1475,758,700,179,542,900,47,32,101,1.395,9.2,1.1,3.4,5.6,1.66,1128,1987.0
OAK,22,28.1,4.32,1445.2,1442,789,694,176,531,1042,40,36,95,1.365,9.0,1.1,3.3,6.5,1.96,1112,1987.0
PHI,18,28.2,4.18,1448.1,1453,749,673,167,587,877,48,35,102,1.409,9.0,1.0,3.6,5.4,1.49,1171,1987.0
PIT,22,26.5,4.20,1445.0,1377,744,674,164,562,914,39,22,98,1.342,8.6,1.0,3.5,5.7,1.63,1052,1987.0
SDP,19,27.7,4.27,1433.1,1402,763,680,175,602,897,33,36,93,1.398,8.8,1.1,3.8,5.6,1.49,1143,1987.0
SEA,18,25.9,4.49,1430.2,1503,801,713,199,497,919,33,28,105,1.398,9.5,1.3,3.1,5.8,1.85,1074,1987.0
SFG,20,29.1,3.68,1471.0,1407,669,601,146,547,1038,38,27,106,1.328,8.6,0.9,3.3,6.4,1.90,1120,1987.0
STL,18,27.9,3.91,1466.0,1484,693,637,129,533,873,48,27,106,1.376,9.1,0.8,3.3,5.4,1.64,1163,1987.0
TEX,19,27.6,4.63,1444.1,1388,849,743,199,760,1103,27,55,97,1.487,8.6,1.2,4.7,6.9,1.45,1208,1987.0
TOR,15,27.8,3.74,1454.0,1323,655,605,158,567,1064,43,22,121,1.300,8.2,1.0,3.5,6.6,1.88,1086,1987.0
ATL,19,27.4,4.09,1446.0,1481,741,657,108,524,810,25,43,90,1.387,9.2,0.7,3.3,5.0,1.55,1167,1988.0
BAL,21,27.3,4.54,1416.0,1506,789,714,153,523,709,26,43,86,1.433,9.6,1.0,3.3,4.5,1.36,1104,1988.0
BOS,17,28.7,3.97,1426.1,1415,689,629,143,493,1085,37,37,104,1.338,8.9,0.9,3.1,6.8,2.20,1120,1988.0
CAL,19,27.4,4.32,1455.2,1503,771,698,135,568,817,33,42,90,1.423,9.3,0.8,3.5,5.1,1.44,1161,1988.0
CHC,18,27.1,3.84,1464.1,1494,694,625,115,490,897,29,31,94,1.355,9.2,0.7,3.0,5.5,1.83,1189,1988.0
CHW,21,26.6,4.12,1439.0,1467,757,659,138,533,754,43,35,97,1.390,9.2,0.9,3.3,4.7,1.41,1132,1988.0
CIN,20,26.7,3.35,1455.0,1271,596,541,121,504,934,43,27,108,1.220,7.9,0.7,3.1,5.8,1.85,1056,1988.0
CLE,18,27.0,4.16,1434.0,1501,731,663,120,442,812,46,38,98,1.355,9.4,0.8,2.8,5.1,1.84,1112,1988.0
DET,14,31.1,3.71,1445.2,1361,658,596,150,497,890,36,32,103,1.285,8.5,0.9,3.1,5.5,1.79,1118,1988.0
HOU,15,33.1,3.41,1474.2,1339,631,558,123,478,1049,40,37,98,1.232,8.2,0.8,2.9,6.4,2.19,1129,1988.0
KCR,17,29.0,3.65,1428.1,1415,648,580,102,465,886,32,33,110,1.316,8.9,0.6,2.9,5.6,1.91,1117,1988.0
LAD,19,29.2,2.96,1463.1,1291,544,482,84,473,1029,49,22,114,1.205,7.9,0.5,2.9,6.3,2.18,1116,1988.0
MIL,14,27.2,3.45,1449.1,1355,616,555,125,437,832,51,19,116,1.236,8.4,0.8,2.7,5.2,1.90,1063,1988.0
MIN,20,30.0,3.93,1431.2,1457,672,625,146,453,897,52,42,104,1.334,9.2,0.9,2.8,5.6,1.98,1097,1988.0
MON,17,29.0,3.08,1482.2,1310,592,508,122,476,923,43,36,117,1.205,8.0,0.7,2.9,5.6,1.94,1089,1988.0
NYM,15,26.6,2.91,1439.0,1253,532,465,78,404,1100,46,35,111,1.151,7.8,0.5,2.5,6.9,2.72,1028,1988.0
NYY,18,32.3,4.26,1456.0,1512,748,689,157,487,861,43,49,93,1.373,9.3,1.0,3.0,5.3,1.77,1175,1988.0
OAK,15,28.8,3.44,1489.1,1376,620,569,116,553,983,64,29,111,1.295,8.3,0.7,3.3,5.9,1.78,1168,1988.0
PHI,21,29.0,4.14,1433.0,1447,734,659,118,628,859,36,36,86,1.448,9.1,0.7,3.9,5.4,1.37,1236,1988.0
PIT,18,26.2,3.47,1440.2,1349,616,555,108,469,790,46,32,98,1.262,8.4,0.7,2.9,4.9,1.68,1094,1988.0
SDP,14,28.0,3.28,1449.0,1332,583,528,112,439,885,39,21,105,1.222,8.3,0.7,2.7,5.5,2.02,1051,1988.0
SEA,17,26.4,4.15,1428.0,1385,744,659,144,558,981,28,36,100,1.361,8.7,0.9,3.5,6.2,1.76,1064,1988.0
SFG,18,31.1,3.39,1462.1,1323,626,550,99,422,875,42,30,97,1.193,8.1,0.6,2.6,5.4,2.07,1034,1988.0
STL,19,28.9,3.47,1470.2,1387,633,567,91,486,881,42,18,101,1.274,8.5,0.6,3.0,5.4,1.81,1106,1988.0
TEX,21,28.0,4.05,1438.2,1310,735,647,129,654,912,31,56,100,1.365,8.2,0.8,4.1,5.7,1.39,1129,1988.0
TOR,16,28.9,3.80,1449.0,1404,680,611,143,528,904,47,59,103,1.333,8.7,0.9,3.3,5.6,1.71,1142,1988.0
ATL,23,25.4,3.70,1447.2,1370,680,595,114,468,966,33,16,98,1.270,8.5,0.7,2.9,6.0,2.06,1065,1989.0
BAL,17,26.9,4.00,1448.1,1518,686,644,134,486,676,44,25,95,1.384,9.4,0.8,3.0,4.2,1.39,1158,1989.0
BOS,15,29.5,4.01,1460.1,1448,735,650,131,548,1054,42,35,103,1.367,8.9,0.8,3.4,6.5,1.92,1132,1989.0
CAL,15,29.1,3.28,1454.1,1384,578,530,113,465,897,38,29,117,1.271,8.6,0.7,2.9,5.6,1.93,1127,1989.0
CHC,15,27.2,3.43,1460.1,1369,623,556,106,532,918,55,25,111,1.302,8.4,0.7,3.3,5.7,1.73,1159,1989.0
CHW,19,26.4,4.23,1422.0,1472,750,668,144,539,778,46,35,90,1.414,9.3,0.9,3.4,4.9,1.44,1152,1989.0
CIN,17,28.1,3.73,1464.1,1404,691,607,125,559,981,37,33,97,1.341,8.6,0.8,3.4,6.0,1.75,1181,1989.0
CLE,20,28.5,3.65,1453.0,1423,654,589,107,452,844,38,24,109,1.290,8.8,0.7,2.8,5.2,1.87,1115,1989.0
DET,22,31.0,4.53,1427.1,1514,816,719,150,652,831,26,43,85,1.518,9.5,0.9,4.1,5.2,1.27,1236,1989.0
HOU,17,33.0,3.64,1479.1,1379,669,599,105,551,965,38,25,93,1.305,8.4,0.6,3.4,5.9,1.75,1183,1989.0
KCR,17,27.7,3.55,1451.2,1415,635,572,86,455,978,38,25,110,1.288,8.8,0.5,2.8,6.1,2.15,1091,1989.0
LAD,18,28.5,2.95,1463.1,1278,536,479,95,504,1052,36,27,117,1.218,7.9,0.6,3.1,6.5,2.09,1108,1989.0
MIL,20,27.9,3.80,1432.1,1463,679,604,129,457,812,45,29,102,1.340,9.2,0.8,2.9,5.1,1.78,1130,1989.0
MIN,23,28.0,4.28,1429.1,1495,738,680,139,500,851,38,38,98,1.396,9.4,0.9,3.1,5.4,1.70,1154,1989.0
MON,20,30.5,3.48,1468.1,1344,630,567,120,519,1059,35,31,102,1.269,8.2,0.7,3.2,6.5,2.04,1117,1989.0
NYM,20,27.5,3.29,1454.1,1260,595,532,115,532,1108,38,26,99,1.232,7.8,0.7,3.3,6.9,2.08,1140,1989.0
NYY,22,29.2,4.50,1414.2,1550,792,708,150,521,787,44,37,86,1.464,9.9,1.0,3.3,5.0,1.51,1133,1989.0
OAK,16,30.0,3.09,1448.1,1287,576,497,103,510,930,57,28,119,1.241,8.0,0.6,3.2,5.8,1.82,1105,1989.0
PHI,22,27.8,4.04,1433.1,1408,735,644,127,613,899,33,31,88,1.410,8.8,0.8,3.8,5.6,1.47,1169,1989.0
PIT,22,28.1,3.64,1487.2,1394,680,602,121,539,827,40,29,93,1.299,8.4,0.7,3.3,5.0,1.53,1165,1989.0
SDP,17,29.2,3.38,1457.1,1359,626,547,133,481,933,52,21,104,1.263,8.4,0.8,3.0,5.8,1.94,1097,1989.0
SEA,19,26.1,4.00,1438.0,1422,728,639,114,560,897,44,42,101,1.378,8.9,0.7,3.5,5.6,1.60,1145,1989.0
SFG,21,31.6,3.30,1457.0,1320,600,535,120,471,802,47,24,102,1.229,8.2,0.7,2.9,5.0,1.70,1070,1989.0
STL,15,28.2,3.36,1461.0,1330,608,546,84,482,844,43,30,108,1.240,8.2,0.5,3.0,5.2,1.75,1099,1989.0
TEX,18,29.8,3.91,1434.1,1279,714,623,119,654,1112,44,48,102,1.348,8.0,0.7,4.1,7.0,1.70,1144,1989.0
TOR,19,29.0,3.58,1467.0,1408,651,584,99,478,849,38,45,102,1.286,8.6,0.6,2.9,5.2,1.78,1107,1989.0
ATL,23,25.8,4.58,1429.2,1527,821,727,128,579,938,30,26,88,1.473,9.6,0.8,3.6,5.9,1.62,1193,1990.0
BAL,21,26.2,4.04,1435.1,1445,698,644,161,537,776,43,16,94,1.381,9.1,1.0,3.4,4.9,1.45,1137,1990.0
BOS,20,30.6,3.72,1442.0,1439,664,596,92,519,997,44,45,110,1.358,9.0,0.6,3.2,6.2,1.92,1184,1990.0
CAL,20,28.1,3.79,1454.0,1482,706,613,106,544,944,42,38,100,1.393,9.2,0.7,3.4,5.8,1.74,1155,1990.0
CHC,20,26.1,4.34,1442.2,1510,774,695,121,572,877,42,28,95,1.443,9.4,0.8,3.6,5.5,1.53,1218,1990.0
CHW,17,24.9,3.61,1449.1,1313,633,581,106,548,914,68,39,107,1.284,8.2,0.7,3.4,5.7,1.67,1092,1990.0
CIN,17,27.4,3.39,1456.1,1338,597,549,124,543,1029,50,34,118,1.292,8.3,0.8,3.4,6.4,1.90,1162,1990.0
CLE,21,28.1,4.26,1427.1,1491,737,676,163,518,860,47,40,92,1.408,9.4,1.0,3.3,5.4,1.66,1165,1990.0
DET,20,30.3,4.39,1430.1,1401,754,697,154,661,856,45,45,92,1.442,8.8,1.0,4.2,5.4,1.30,1185,1990.0
HOU,17,31.8,3.61,1450.0,1396,656,581,130,496,854,37,38,103,1.305,8.7,0.8,3.1,5.3,1.72,1137,1990.0
KCR,23,27.3,3.93,1420.2,1449,709,621,116,560,1006,33,46,98,1.414,9.2,0.7,3.5,6.4,1.80,1222,1990.0
LAD,21,28.2,3.72,1442.0,1364,685,596,137,478,1021,29,28,99,1.277,8.5,0.9,3.0,6.4,2.14,1071,1990.0
MIL,22,28.6,4.08,1445.0,1558,760,655,121,469,771,42,38,95,1.403,9.7,0.8,2.9,4.8,1.64,1189,1990.0
MIN,18,27.1,4.12,1435.2,1509,729,658,134,489,872,43,27,101,1.392,9.5,0.8,3.1,5.5,1.78,1104,1990.0
MON,24,29.3,3.37,1473.1,1349,598,551,127,510,991,50,38,109,1.262,8.2,0.8,3.1,6.1,1.94,1155,1990.0
NYM,15,28.0,3.43,1440.0,1339,613,548,119,444,1217,41,27,110,1.238,8.4,0.7,2.8,7.6,2.74,1076,1990.0
NYY,20,29.1,4.21,1444.2,1430,749,676,144,618,909,41,26,94,1.418,8.9,0.9,3.9,5.7,1.47,1144,1990.0
OAK,15,31.7,3.18,1456.0,1287,570,514,123,494,831,64,27,116,1.223,8.0,0.8,3.1,5.1,1.68,1082,1990.0
PHI,20,26.5,4.07,1449.0,1381,729,655,124,651,840,35,29,93,1.402,8.6,0.8,4.0,5.2,1.29,1183,1990.0
PIT,23,28.9,3.40,1447.0,1367,619,546,135,413,848,43,30,107,1.230,8.5,0.8,2.6,5.3,2.05,1037,1990.0
SDP,16,29.5,3.68,1461.2,1437,673,597,147,507,928,35,19,105,1.330,8.8,0.9,3.1,5.7,1.83,1150,1990.0
SEA,22,26.9,3.69,1443.1,1319,680,592,120,606,1064,41,41,106,1.334,8.2,0.7,3.8,6.6,1.76,1155,1990.0
SFG,26,29.5,4.08,1446.1,1477,710,655,131,553,788,45,21,90,1.404,9.2,0.8,3.4,4.9,1.43,1186,1990.0
STL,22,29.8,3.87,1443.1,1432,698,621,98,475,833,39,34,98,1.321,8.9,0.6,3.0,5.2,1.75,1104,1990.0
TEX,18,30.3,3.83,1444.2,1343,696,615,113,623,997,36,44,103,1.361,8.4,0.7,3.9,6.2,1.60,1151,1990.0
TOR,19,29.0,3.84,1454.0,1434,661,620,143,445,892,48,37,108,1.292,8.9,0.9,2.8,5.5,2.00,1069,1990.0
ATL,20,27.1,3.49,1452.2,1304,644,563,118,481,969,48,28,112,1.229,8.1,0.7,3.0,6.0,2.01,1049,1991.0
BAL,20,27.4,4.59,1457.2,1534,796,743,147,504,868,42,28,87,1.398,9.5,0.9,3.1,5.4,1.72,1078,1991.0
BOS,19,30.8,4.01,1439.2,1405,712,642,147,530,999,45,31,108,1.344,8.8,0.9,3.3,6.2,1.88,1095,1991.0
CAL,17,27.9,3.69,1441.2,1351,649,591,141,543,990,50,38,112,1.314,8.4,0.9,3.4,6.2,1.82,1085,1991.0
CHC,19,27.5,4.03,1456.2,1415,734,653,117,542,927,40,28,96,1.343,8.7,0.7,3.3,5.7,1.71,1120,1991.0
CHW,17,26.7,3.79,1478.0,1302,681,622,154,601,923,40,31,105,1.288,7.9,0.9,3.7,5.6,1.54,1079,1991.0
CIN,17,27.6,3.83,1440.0,1372,691,613,127,560,997,43,28,101,1.342,8.6,0.8,3.5,6.2,1.78,1122,1991.0
CLE,24,26.8,4.23,1441.1,1551,759,678,110,441,862,33,39,99,1.382,9.7,0.7,2.8,5.4,1.95,1148,1991.0
DET,19,30.8,4.51,1450.1,1570,794,726,148,593,739,38,24,93,1.491,9.7,0.9,3.7,4.6,1.25,1198,1991.0
HOU,19,26.4,4.00,1453.0,1347,717,646,129,651,1033,36,29,87,1.375,8.3,0.8,4.0,6.4,1.59,1179,1991.0
KCR,19,27.6,3.92,1466.0,1473,722,639,105,529,1004,41,43,106,1.366,9.0,0.6,3.2,6.2,1.90,1190,1991.0
LAD,16,30.2,3.06,1458.0,1312,565,496,96,500,1028,40,28,117,1.243,8.1,0.6,3.1,6.3,2.06,1150,1991.0
MIL,21,27.0,4.14,1463.2,1498,744,674,147,527,859,41,45,97,1.384,9.2,0.9,3.2,5.3,1.63,1167,1991.0
MIN,16,28.6,3.69,1449.1,1402,652,595,139,488,876,53,27,116,1.304,8.7,0.9,3.0,5.4,1.80,1101,1991.0
MON,19,28.4,3.64,1440.1,1304,655,583,111,584,909,39,32,101,1.311,8.1,0.7,3.6,5.7,1.56,1085,1991.0
NYM,18,28.0,3.56,1437.1,1403,646,568,108,410,1028,39,25,103,1.261,8.8,0.7,2.6,6.4,2.51,1072,1991.0
NYY,20,29.5,4.42,1444.0,1510,777,709,152,506,936,37,42,94,1.396,9.4,0.9,3.2,5.8,1.85,1100,1991.0
OAK,23,30.9,4.57,1444.1,1425,776,734,155,655,892,49,55,84,1.440,8.9,1.0,4.1,5.6,1.36,1190,1991.0
PHI,19,26.7,3.86,1463.0,1346,680,628,111,670,988,35,43,95,1.378,8.3,0.7,4.1,6.1,1.47,1263,1991.0
PIT,17,28.4,3.44,1456.2,1411,632,557,117,401,919,51,30,104,1.244,8.7,0.7,2.5,5.7,2.29,1044,1991.0
SDP,23,29.0,3.57,1452.2,1385,646,577,139,457,921,47,13,107,1.268,8.6,0.9,2.8,5.7,2.02,1088,1991.0
SEA,17,27.5,3.79,1464.1,1387,674,616,136,628,1003,48,47,109,1.376,8.5,0.8,3.9,6.2,1.60,1194,1991.0
SFG,19,28.9,4.03,1442.0,1397,697,646,143,544,905,45,36,89,1.346,8.7,0.9,3.4,5.6,1.66,1109,1991.0
STL,18,29.4,3.69,1435.1,1367,648,588,114,454,822,51,47,101,1.269,8.6,0.7,2.8,5.2,1.81,1042,1991.0
TEX,23,29.0,4.47,1479.0,1486,814,734,151,662,1022,41,45,91,1.452,9.0,0.9,4.0,6.2,1.54,1236,1991.0
TOR,20,28.2,3.50,1462.2,1301,622,569,121,523,971,60,43,121,1.247,8.0,0.7,3.2,6.0,1.86,1126,1991.0
ATL,19,27.5,3.14,1460.0,1321,569,510,89,489,948,41,26,118,1.240,8.1,0.5,3.0,5.8,1.94,1123,1992.0
BAL,16,27.9,3.79,1464.0,1419,656,616,124,518,846,48,36,106,1.323,8.7,0.8,3.2,5.2,1.63,1145,1992.0
BOS,16,31.5,3.58,1448.2,1403,669,577,107,535,943,39,41,116,1.338,8.7,0.7,3.3,5.9,1.76,1158,1992.0
CAL,16,28.8,3.84,1446.0,1449,671,617,130,532,888,42,39,103,1.370,9.0,0.8,3.3,5.5,1.67,1145,1992.0
CHC,17,27.2,3.39,1469.0,1337,624,554,107,575,901,37,44,107,1.302,8.2,0.7,3.5,5.5,1.57,1170,1992.0
CHW,13,28.9,3.82,1461.2,1400,690,621,123,550,810,52,55,101,1.334,8.6,0.8,3.4,5.0,1.47,1169,1992.0
CIN,17,28.1,3.46,1449.2,1362,609,558,109,470,1060,55,28,106,1.264,8.5,0.7,2.9,6.6,2.26,1084,1992.0
CLE,20,27.0,4.11,1470.0,1507,746,671,159,566,890,46,34,96,1.410,9.2,1.0,3.5,5.4,1.57,1174,1992.0
DET,15,29.6,4.60,1435.2,1534,794,733,155,564,693,36,29,86,1.461,9.6,1.0,3.5,4.3,1.23,1153,1992.0
HOU,16,27.1,3.72,1459.1,1386,668,603,114,539,978,45,38,91,1.319,8.5,0.7,3.3,6.0,1.81,1167,1992.0
KCR,22,27.1,3.81,1447.1,1426,667,613,106,512,834,44,39,106,1.339,8.9,0.7,3.2,5.2,1.63,1162,1992.0
LAD,14,31.2,3.41,1438.0,1401,636,545,82,553,981,29,28,102,1.359,8.8,0.5,3.5,6.1,1.77,1242,1992.0
MIL,15,27.5,3.43,1457.0,1344,604,556,127,435,793,39,47,113,1.221,8.3,0.8,2.7,4.9,1.82,1065,1992.0
MIN,17,27.7,3.70,1453.0,1391,653,598,121,479,923,50,36,109,1.287,8.6,0.7,3.0,5.7,1.93,1074,1992.0
MON,21,28.0,3.25,1468.0,1296,581,530,92,525,1014,49,50,108,1.240,7.9,0.6,3.2,6.2,1.93,1154,1992.0
NYM,19,28.2,3.66,1446.2,1404,653,588,98,482,1025,34,36,96,1.304,8.7,0.6,3.0,6.4,2.13,1125,1992.0
NYY,19,29.5,4.21,1452.2,1453,746,679,129,612,851,44,35,93,1.422,9.0,0.8,3.8,5.3,1.39,1152,1992.0
OAK,22,32.0,3.73,1447.0,1396,672,599,129,601,843,58,41,100,1.380,8.7,0.8,3.7,5.2,1.40,1191,1992.0
PHI,24,26.8,4.11,1428.0,1387,717,652,113,549,851,34,27,86,1.356,8.7,0.7,3.5,5.4,1.55,1112,1992.0
PIT,21,29.2,3.35,1479.2,1410,595,551,101,455,844,43,30,104,1.260,8.6,0.6,2.8,5.1,1.85,1128,1992.0
SDP,17,29.1,3.56,1461.1,1444,636,578,111,439,971,46,21,101,1.289,8.9,0.7,2.7,6.0,2.21,1111,1992.0
SEA,23,27.4,4.55,1445.0,1467,799,730,129,661,894,30,60,87,1.473,9.1,0.8,4.1,5.6,1.35,1215,1992.0
SFG,18,28.2,3.61,1461.0,1385,647,586,128,502,927,30,35,93,1.292,8.5,0.8,3.1,5.7,1.85,1104,1992.0
STL,15,28.7,3.38,1480.0,1405,604,556,118,400,842,47,32,101,1.220,8.5,0.7,2.4,5.1,2.11,1096,1992.0
TEX,25,29.6,4.09,1460.1,1471,753,663,113,598,1034,42,48,94,1.417,9.1,0.7,3.7,6.4,1.73,1191,1992.0
TOR,17,30.0,3.91,1440.2,1346,682,626,124,541,954,49,45,104,1.310,8.4,0.8,3.4,6.0,1.76,1104,1992.0
ATL,13,26.8,3.14,1455.0,1297,559,507,101,480,1036,46,22,128,1.221,8.0,0.6,3.0,6.4,2.16,1091,1993.0
BAL,18,28.4,4.31,1442.2,1427,745,691,153,579,900,42,38,104,1.390,8.9,1.0,3.6,5.6,1.55,1110,1993.0
BOS,16,30.6,3.77,1452.1,1379,698,609,127,552,997,44,48,122,1.330,8.5,0.8,3.4,6.2,1.81,1146,1993.0
CAL,24,28.8,4.34,1430.1,1482,770,690,153,550,843,41,51,103,1.421,9.3,1.0,3.5,5.3,1.53,1142,1993.0
CHC,17,28.3,4.18,1449.2,1514,739,673,153,470,905,56,43,94,1.369,9.4,0.9,2.9,5.6,1.93,1090,1993.0
CHW,20,26.6,3.70,1454.0,1398,664,598,125,566,974,48,40,114,1.351,8.7,0.8,3.5,6.0,1.72,1147,1993.0
CIN,24,27.9,4.51,1434.0,1510,785,718,158,508,996,37,44,89,1.407,9.5,1.0,3.2,6.3,1.96,1131,1993.0
CLE,26,27.3,4.58,1445.2,1591,813,735,182,591,888,45,39,95,1.509,9.9,1.1,3.7,5.5,1.50,1234,1993.0
COL,25,27.1,5.41,1431.1,1664,967,860,181,609,913,35,41,88,1.588,10.5,1.1,3.8,5.7,1.50,1210,1993.0
DET,22,30.1,4.65,1436.2,1547,837,742,188,542,828,36,48,92,1.454,9.7,1.2,3.4,5.2,1.53,1161,1993.0
FLA,18,29.7,4.13,1440.1,1437,724,661,135,598,945,48,32,103,1.413,9.0,0.8,3.7,5.9,1.58,1216,1993.0
HOU,16,28.3,3.49,1441.1,1363,630,559,117,476,1056,42,41,111,1.276,8.5,0.7,3.0,6.6,2.22,1125,1993.0
KCR,20,27.4,4.04,1445.1,1379,694,649,105,571,985,48,44,114,1.349,8.6,0.7,3.6,6.1,1.73,1115,1993.0
LAD,15,29.1,3.50,1472.2,1406,662,573,103,567,1043,36,37,109,1.340,8.6,0.6,3.5,6.4,1.84,1194,1993.0
MIL,19,27.3,4.45,1447.0,1511,792,716,153,522,810,29,60,96,1.405,9.4,1.0,3.2,5.0,1.55,1152,1993.0
MIN,16,27.5,4.71,1444.1,1591,830,756,148,514,901,44,45,92,1.457,9.9,0.9,3.2,5.6,1.75,1123,1993.0
MON,22,27.9,3.55,1456.2,1369,682,574,119,521,934,61,47,118,1.297,8.5,0.7,3.2,5.8,1.79,1139,1993.0
NYM,19,29.2,4.05,1438.0,1483,744,647,139,434,867,22,50,99,1.333,9.3,0.9,2.7,5.4,2.00,1093,1993.0
NYY,22,28.9,4.35,1438.1,1467,761,695,170,552,899,38,29,96,1.404,9.2,1.1,3.5,5.6,1.63,1124,1993.0
OAK,22,30.9,4.90,1452.1,1551,846,791,157,680,864,42,49,84,1.536,9.6,1.0,4.2,5.4,1.27,1253,1993.0
PHI,20,28.8,3.95,1472.2,1419,740,647,129,573,1117,46,37,101,1.353,8.7,0.8,3.5,6.8,1.95,1202,1993.0
PIT,23,27.6,4.77,1445.2,1557,806,766,153,485,832,34,46,85,1.412,9.7,1.0,3.0,5.2,1.72,1104,1993.0
SDP,23,26.7,4.23,1437.2,1470,772,675,148,558,957,32,34,98,1.411,9.2,0.9,3.5,6.0,1.72,1182,1993.0
SEA,23,28.3,4.20,1453.2,1421,731,678,135,605,1083,41,66,105,1.394,8.8,0.8,3.7,6.7,1.79,1162,1993.0
SFG,18,28.5,3.61,1456.2,1385,636,585,168,442,982,50,50,108,1.254,8.6,1.0,2.7,6.1,2.22,1071,1993.0
STL,18,28.7,4.09,1453.0,1553,744,660,152,383,775,54,43,96,1.332,9.6,0.9,2.4,4.8,2.02,1093,1993.0
TEX,21,30.3,4.28,1438.1,1476,751,684,144,562,957,45,44,98,1.417,9.2,0.9,3.5,6.0,1.70,1166,1993.0
TOR,16,29.5,4.21,1441.1,1441,742,674,134,620,1023,50,32,103,1.430,9.0,0.8,3.9,6.4,1.65,1203,1993.0
ATL,13,27.4,3.57,1026.1,929,448,407,76,378,865,26,22,119,1.273,8.1,0.7,3.3,7.6,2.29,795,1994.0
BAL,15,29.1,4.31,997.2,1005,497,478,131,351,666,37,26,116,1.359,9.1,1.2,3.2,6.0,1.90,775,1994.0
BOS,23,30.2,4.93,1029.1,1104,621,564,120,450,729,30,31,102,1.510,9.7,1.0,3.9,6.4,1.62,844,1994.0
CAL,18,28.9,5.42,1027.0,1149,660,618,150,436,682,21,45,90,1.543,10.1,1.3,3.8,6.0,1.56,825,1994.0
CHC,18,28.3,4.47,1023.2,1054,549,508,120,392,717,27,19,94,1.413,9.3,1.1,3.4,6.3,1.83,793,1994.0
CHW,14,28.2,3.96,1011.1,964,498,445,115,377,754,20,17,118,1.326,8.6,1.0,3.4,6.7,2.00,778,1994.0
CIN,16,27.2,3.78,1038.1,1037,490,436,117,339,799,27,27,111,1.325,9.0,1.0,2.9,6.9,2.36,806,1994.0
CLE,21,30.7,4.36,1018.2,1097,562,494,94,404,666,21,41,107,1.473,9.7,0.8,3.6,5.9,1.65,870,1994.0
COL,18,28.0,5.15,1031.0,1185,638,590,120,448,703,28,49,97,1.584,10.3,1.0,3.9,6.1,1.57,913,1994.0
DET,18,31.2,5.38,1018.0,1139,671,609,148,449,560,20,25,91,1.560,10.1,1.3,4.0,5.0,1.25,847,1994.0
FLA,20,29.0,4.50,1015.0,1069,576,507,120,428,649,30,39,97,1.475,9.5,1.1,3.8,5.8,1.52,853,1994.0
HOU,13,27.2,3.97,1029.2,1043,503,454,102,367,739,29,34,100,1.369,9.1,0.9,3.2,6.5,2.01,820,1994.0
