,train_o,test_o,train_up,test_up,precision_o,recall_o,precision_up,recall_up
LR,0.8962962962962963,0.837037037037037,0.8918269230769231,0.8185185185185185,0.68,0.5483870967741935,0.5730337078651685,0.8225806451612904
KNN,0.9046296296296297,0.7851851851851852,0.90625,0.7296296296296296,0.5416666666666666,0.41935483870967744,0.45045045045045046,0.8064516129032258
RF,0.9138888888888889,0.8148148148148148,0.9170673076923077,0.8,0.6578947368421053,0.4032258064516129,0.5454545454545454,0.7741935483870968
SVM,0.9398148148148148,0.825925925925926,0.9621394230769231,0.837037037037037,0.6415094339622641,0.5483870967741935,0.6216216216216216,0.7419354838709677
XGB,0.987037037037037,0.8185185185185185,0.9801682692307693,0.8222222222222222,0.6140350877192983,0.5645161290322581,0.6,0.6774193548387096
