batter_age,b_runs,b_hits,doubles,triples,homeruns,sb,cs,walks,b_strikeouts,ground_double_play,b_left_on_base,pitcher_age,era,innings_pitched,p_hits,homeruns_allowed,walks_allowed,p_strikeouts,saves,hbp,era_plus,so_walk,p_left_on_base,defensive_efficiency,errors,Rtot,team,year,playoff_appearance
0.9411764705882355,0.6859337258454103,0.5875706214689269,0.46834228702993097,0.0,0.4887706524782972,0.21433720825448324,0.49999999999999994,0.21527777777777768,0.0,0.47804208600182974,0.1877934272300461,0.615384615384615,0.46052631578947345,0.30492676431424925,0.46666666666666723,0.6404715127701377,0.06382978723404253,0.2822757111597376,0.9352765664448013,0.2390029325513196,0.4651162790697674,0.7333333333333336,0.21278140885983987,0.6333333333333329,0.16867469879518082,0.6709563462023719,ATL,1969,1
0.6764705882352953,0.9566160929951688,0.7401129943502833,0.8749040675364543,0.23333333333333328,0.7991598991879022,0.3832567360547896,0.44230769230769235,0.7326388888888886,0.2949790794979079,0.6271729185727357,0.624413145539906,0.6538461538461533,0.0,0.6804260985352855,0.0,0.28020628683693527,0.2765957446808509,0.291028446389497,0.710810190498049,0.10622352557836429,1.0,0.504761904761905,0.030993879033094807,1.0,0.0,1.0,BAL,1969,1
0.08823529411764763,0.845882397342995,0.5028248587570623,0.8749040675364543,0.5,0.9999999999999999,0.08213931693250429,0.4807692307692308,0.8159722222222221,0.5397489539748954,0.3848353156450137,0.455399061032864,0.42307692307692335,0.7171052631578947,0.5872170439414113,0.7633333333333341,0.7872462344466278,0.9397163120567376,0.3741794310722104,0.8978655037870096,0.7966764418377319,0.34883720930232576,0.09523809523809534,0.9779800809212569,0.2833333333333332,0.6746987951807228,0.4036083774917991,BOS,1969,0
0.08823529411764763,0.17459239130434767,0.02968701258188622,0.0,0.22740286298568513,0.0,0.1751824817518248,0.3223218499292119,0.3119248466257667,0.540377852504043,0.0,0.19323713240588702,0.4423076923076925,0.4671052631578947,0.09556991496000933,0.30687116564417183,0.38998035363457784,0.33272418744289256,0.252889610825469,0.8140922653201745,0.8680351906158359,0.34883720930232576,0.4190476190476191,0.0,0.5499999999999989,0.41163426712986917,0.5416351249053747,LAA,1969,0
1.0,0.761548913043478,0.5322345845897893,0.6630851880276285,0.5918200408997956,0.48994679361523363,0.0,0.18853232656913638,0.4603144171779141,0.5382986369586982,0.11116193961573662,0.5245254759641691,0.634615384615385,0.33552631578947345,0.30731213188141737,0.5453987730061356,0.2838899803536348,0.18470173606578788,0.5399578472567155,0.367913702088593,0.2873900293255132,0.8837209302325584,0.8285714285714287,0.40756302521008436,0.2833333333333332,0.41163426712986917,0.35768357305071913,CHC,1969,0
0.41176470588235325,0.4829219504830915,0.40395480225988756,0.624712202609363,0.16666666666666663,0.22402688322598696,0.1776155717761557,0.0,0.4479166666666665,0.37447698744769875,0.2729871912168347,0.572769953051643,0.7884615384615383,0.9078947368421053,0.2010652463382172,0.9200000000000004,0.6671578258022268,0.5106382978723403,0.1006564551422322,0.2992885012623364,0.398338220918866,0.2325581395348837,0.161904761904762,0.6017221703496212,0.25,0.2530120481927711,0.3213474640423921,CWS,1969,0
0.14705882352941213,1.0,0.9758240615576592,0.7563315425940138,0.6580777096114521,0.7530663679641555,0.35766423357664234,0.647239263803681,0.16698619631901845,0.7753292091280133,0.222323879231473,0.2818917595552861,0.5769230769230766,0.8421052631578951,0.4515615171591243,0.9164417177914115,0.6949901768172893,0.6640125310011751,0.10718073324294242,1.0,1.0,0.18604651162790686,0.06666666666666687,1.0,0.2833333333333332,0.7948111464261955,0.34235427706283117,CIN,1969,0
0.4411764705882355,0.3339205542803132,0.21723339298873556,0.25020139858806467,0.07163561076604552,0.2946781439859739,0.40916715781837965,0.2928810320114668,0.40042701863354035,0.5159567556329425,0.811965471975814,0.07835418306943076,0.5769230769230766,0.7302631578947367,0.31724987800944504,0.4808695652173909,0.5181454319149719,0.9405312541297741,0.5300025823287171,0.19216738396269595,0.8045937232472997,0.2790697674418605,0.19047619047619047,0.7600083511665536,0.3500000000000014,0.540971338771234,0.17592192062290474,CLE,1969,0
0.9117647058823533,0.7166930857487923,0.31920903954802293,0.3953696597595293,0.23333333333333328,0.8630635676281154,0.03807335315851132,0.11538461538461536,0.538194444444444,0.5376569037656906,0.1611390667886552,0.2394366197183091,0.7307692307692308,0.3157894736842106,0.4394141145139834,0.18666666666666698,0.42698100851342513,0.5886524822695036,0.5864332603938733,0.41152168923571253,0.4248941023134571,0.6976744186046511,0.4666666666666668,0.47489366116817067,0.6333333333333329,0.3493975903614457,0.578412818571789,DET,1969,0
0.20588235294117663,0.6397946859903381,0.22881355932203373,0.6038628805321051,0.5999999999999999,0.15099411929431528,0.522798954672434,0.6923076923076923,0.9583333333333333,0.6422594142259417,0.0865736505032022,0.68075117370892,0.25,0.5065789473684212,0.17443408788282255,0.5100000000000002,0.20014734774066834,0.45035460992907805,1.0000000000000002,0.635988065182465,0.4514499837080482,0.37209302325581417,0.9142857142857146,0.5298526818134661,0.0,0.6265060240963856,0.04371688115064348,HOU,1969,0
0.0,0.35190217391304346,0.2823645627534579,0.2900997697620875,0.32678936605316977,0.09073088770652471,0.7226277372262774,0.9148183105238321,0.3326303680981595,0.4821598172343866,0.3705397987191217,0.1419107693193924,0.17307692307692246,0.5855263157894739,0.44097440631305673,0.5155828220858898,0.5225933202357564,0.4842709829004048,0.27246244512759965,0.2935506082166629,0.18181818181818182,0.37209302325581417,0.3142857142857145,0.4537815126050413,0.5,0.6630940941680834,0.34235427706283117,KCR,1969,0
